feature,coverage_overall,coverage_pcos,coverage_control,delta
Wiek,1.0,1.0,1.0,0.0
17 - OH progesteron (L79) (17-OHPG),0.7250187828700225,0.750388802488336,0.0,0.750388802488336
17 OH progesteron (L79),0.1592787377911345,0.16485225505443235,0.0,0.16485225505443235
ALAT (ALT),0.19759579263711496,0.20451010886469673,0.0,0.20451010886469673
AMH (hormon anty-Mullerowski) (AMH_CP),0.7332832456799399,0.7589424572317263,0.0,0.7589424572317263
AMH ng/ml,0.033809166040571,0.0,1.0,-1.0
AMH-anty Mullerian Hormon (AMH),0.11044327573253193,0.11430793157076205,0.0,0.11430793157076205
APTT Czas kaolinowo-kefalinowy (APTTCZ),0.003756574004507889,0.0038880248833592537,0.0,0.0038880248833592537
ASO - ilościowo (ASOIL),0.0007513148009015778,0.0007776049766718507,0.0,0.0007776049766718507
ASPAT (AST),0.19759579263711496,0.20451010886469673,0.0,0.20451010886469673
Androstendion (ANDRO),0.512396694214876,0.5303265940902022,0.0,0.5303265940902022
Androstendion (I31),0.14199849737039819,0.1469673405909798,0.0,0.1469673405909798
Androstendion (I31) (ANDRO),0.19158527422990232,0.19828926905132194,0.0,0.19828926905132194
Anty-TG (O18),0.015777610818933134,0.016329704510108865,0.0,0.016329704510108865
Anty-TG (p/c przeciw tyreoglobulinie) (ATG),0.19083395942900075,0.19751166407465007,0.0,0.19751166407465007
Anty-TPO (ATA_TPO),0.7836213373403456,0.8110419906687403,0.0,0.8110419906687403
BMI kg/m2,0.033809166040571,0.0,1.0,-1.0
Białko C-reaktywne (CRP),0.014274981217129978,0.014774494556765163,0.0,0.014774494556765163
Bilirubina całkowita (TBIL),0.05709992486851991,0.05909797822706065,0.0,0.05909797822706065
CEA (CEA),0.0007513148009015778,0.0007776049766718507,0.0,0.0007776049766718507
Ca125 (CA125),0.030803906836964687,0.03188180404354588,0.0,0.03188180404354588
Ca19.9 (CA199),0.0007513148009015778,0.0007776049766718507,0.0,0.0007776049766718507
Cholesterol całkowity (TCHOL),0.8782870022539444,0.9090202177293935,0.0,0.9090202177293935
D-dimery (DDIMER),0.0015026296018031556,0.0015552099533437014,0.0,0.0015552099533437014
DHEAS (DHEA),0.8797896318557475,0.9105754276827371,0.0,0.9105754276827371
DHEAS ug/dl,0.033809166040571,0.0,1.0,-1.0
Dobowy rytm tolerancji glukozy (L_G1030),0.005259203606311044,0.005443234836702955,0.0,0.005443234836702955
Dobowy rytm tolerancji glukozy (L_G1200),0.005259203606311044,0.005443234836702955,0.0,0.005443234836702955
Dobowy rytm tolerancji glukozy (L_G1500),0.005259203606311044,0.005443234836702955,0.0,0.005443234836702955
Dobowy rytm tolerancji glukozy (L_G1800),0.005259203606311044,0.005443234836702955,0.0,0.005443234836702955
Dobowy rytm tolerancji glukozy (L_G2100),0.005259203606311044,0.005443234836702955,0.0,0.005443234836702955
Dobowy rytm tolerancji glukozy (L_G2400),0.005259203606311044,0.005443234836702955,0.0,0.005443234836702955
Dobowy rytm tolerancji glukozy (L_G330),0.005259203606311044,0.005443234836702955,0.0,0.005443234836702955
Dobowy rytm tolerancji glukozy (L_G700),0.005259203606311044,0.005443234836702955,0.0,0.005443234836702955
Dokument (NAZWA),0.013523666416228399,0.013996889580093312,0.0,0.013996889580093312
Estradiol (ESTRA),0.04282494365138993,0.04432348367029549,0.0,0.04432348367029549
