feature,coverage_pcos,coverage_control,delta_coverage,abs_delta_coverage,missing_odds_ratio,fisher_p,fdr_q
MPV,0.03421461897356143,1.0,-0.9657853810264385,0.9657853810264385,inf,3.402293649569773e-59,1.9279664014228713e-58
Platelets,0.03421461897356143,1.0,-0.9657853810264385,0.9657853810264385,inf,3.402293649569773e-59,1.9279664014228713e-58
RDW,0.03421461897356143,1.0,-0.9657853810264385,0.9657853810264385,inf,3.402293649569773e-59,1.9279664014228713e-58
OGTT_120_glucose,0.8934681181959565,0.0,0.8934681181959565,0.8934681181959565,0.0,7.232878713919256e-42,3.0739734534156837e-41
Lymphocytes,0.7006220839813375,1.0,-0.2993779160186625,0.2993779160186625,inf,2.585694621608906e-07,7.326134761225233e-07
Neutrophils,0.7006220839813375,1.0,-0.2993779160186625,0.2993779160186625,inf,2.585694621608906e-07,7.326134761225233e-07
WBC,0.7348367029548989,1.0,-0.2651632970451011,0.2651632970451011,inf,1.9719860572876906e-06,4.789108996270106e-06
Fasting_glucose,0.8950233281493002,1.0,-0.10497667185069981,0.10497667185069981,inf,0.01128358041415999,0.02397760838008998
Cortisol_08,0.9059097978227061,1.0,-0.09409020217729391,0.09409020217729391,inf,0.029367728651072025,0.031203211691764026
PRL,0.9059097978227061,1.0,-0.09409020217729391,0.09409020217729391,inf,0.029367728651072025,0.031203211691764026
SHBG,0.9074650077760498,1.0,-0.09253499222395023,0.09253499222395023,inf,0.028727065983863497,0.031203211691764026
Total_testosterone,0.9074650077760498,1.0,-0.09253499222395023,0.09253499222395023,inf,0.028727065983863497,0.031203211691764026
FSH,0.9082426127527217,1.0,-0.09175738724727833,0.09175738724727833,inf,0.028482184877819533,0.031203211691764026
LH,0.9082426127527217,1.0,-0.09175738724727833,0.09175738724727833,inf,0.028482184877819533,0.031203211691764026
TSH,0.9082426127527217,1.0,-0.09175738724727833,0.09175738724727833,inf,0.028482184877819533,0.031203211691764026
DHEAS,0.9105754276827371,1.0,-0.08942457231726286,0.08942457231726286,inf,0.02804912283860283,0.031203211691764026
Age,1.0,1.0,0.0,0.0,,1.0,1.0
