feature,coverage_pcos,coverage_control,delta_coverage,abs_delta_coverage,missing_odds_ratio,fisher_p,fdr_q
AMH ng/ml,0.0,1.0,-1.0,1.0,inf,6.553747762158148e-85,6.277800487962015e-84
BMI kg/m2,0.0,1.0,-1.0,1.0,inf,6.553747762158148e-85,6.277800487962015e-84
DHEAS ug/dl,0.0,1.0,-1.0,1.0,inf,6.553747762158148e-85,6.277800487962015e-84
FSH IU/l,0.0,1.0,-1.0,1.0,inf,6.553747762158148e-85,6.277800487962015e-84
LH IU/l,0.0,1.0,-1.0,1.0,inf,6.553747762158148e-85,6.277800487962015e-84
Limf 10^3/uL,0.0,1.0,-1.0,1.0,inf,6.553747762158148e-85,6.277800487962015e-84
MPV fL,0.0,1.0,-1.0,1.0,inf,6.553747762158148e-85,6.277800487962015e-84
Neu 10^3/uL,0.0,1.0,-1.0,1.0,inf,6.553747762158148e-85,6.277800487962015e-84
PLT 10^3/uL,0.0,1.0,-1.0,1.0,inf,6.553747762158148e-85,6.277800487962015e-84
PRL ng/ml,0.0,1.0,-1.0,1.0,inf,6.553747762158148e-85,6.277800487962015e-84
RDW %,0.0,1.0,-1.0,1.0,inf,6.553747762158148e-85,6.277800487962015e-84
Rok KG,1.0,0.0,1.0,1.0,0.0,6.553747762158148e-85,6.277800487962015e-84
SHBG nmol/l,0.0,1.0,-1.0,1.0,inf,6.553747762158148e-85,6.277800487962015e-84
TSH uIU/ml,0.0,1.0,-1.0,1.0,inf,6.553747762158148e-85,6.277800487962015e-84
WBC 10^3/uL,0.0,1.0,-1.0,1.0,inf,6.553747762158148e-85,6.277800487962015e-84
glu 0' mg/dl,0.0,1.0,-1.0,1.0,inf,6.553747762158148e-85,6.277800487962015e-84
insulina uU/ml,0.0,1.0,-1.0,1.0,inf,6.553747762158148e-85,6.277800487962015e-84
kortyzol 8.00 ug/dl,0.0,1.0,-1.0,1.0,inf,6.553747762158148e-85,6.277800487962015e-84
testosteron ng/ml,0.0,1.0,-1.0,1.0,inf,6.553747762158148e-85,6.277800487962015e-84
DHEAS (DHEA),0.9105754276827371,0.0,0.9105754276827371,0.9105754276827371,0.0,8.830683519792633e-45,8.035922003011296e-44
Cholesterol całkowity (TCHOL),0.9090202177293935,0.0,0.9090202177293935,0.9090202177293935,0.0,1.6970371910052414e-44,1.2869198698456415e-43
HDL cholesterol (HDL),0.9090202177293935,0.0,0.9090202177293935,0.9090202177293935,0.0,1.6970371910052414e-44,1.2869198698456415e-43
LDL cholesterol (LDL),0.9090202177293935,0.0,0.9090202177293935,0.9090202177293935,0.0,1.6970371910052414e-44,1.2869198698456415e-43
Triglicerydy (TG),0.9090202177293935,0.0,0.9090202177293935,0.9090202177293935,0.0,1.6970371910052414e-44,1.2869198698456415e-43
FSH (FSH),0.9082426127527217,0.0,0.9082426127527217,0.9082426127527217,0.0,2.3442123909648667e-44,1.580172796872614e-43
LH (LH),0.9082426127527217,0.0,0.9082426127527217,0.9082426127527217,0.0,2.3442123909648667e-44,1.580172796872614e-43
TSH (TSH),0.9082426127527217,0.0,0.9082426127527217,0.9082426127527217,0.0,2.3442123909648667e-44,1.580172796872614e-43
FT4 (FT4),0.9074650077760498,0.0,0.9074650077760498,0.9074650077760498,0.0,3.2306792614977994e-44,1.9599454186419984e-43
Kortyzol godz. 23:00 (KOR23),0.9074650077760498,0.0,0.9074650077760498,0.9074650077760498,0.0,3.2306792614977994e-44,1.9599454186419984e-43
Testosteron (L_TESTOS),0.9074650077760498,0.0,0.9074650077760498,0.9074650077760498,0.0,3.2306792614977994e-44,1.9599454186419984e-43
SHBG (L_SHGB),0.9066874027993779,0.0,0.9066874027993779,0.9066874027993779,0.0,4.4421839845594754e-44,2.6079918877091112e-43
Kortyzol godz. 08:00 (KOR),0.9059097978227061,0.0,0.9059097978227061,0.9059097978227061,0.0,6.094235879643574e-44,3.361063424530699e-43
PRL godz. 10:00 (PRL10),0.9059097978227061,0.0,0.9059097978227061,0.9059097978227061,0.0,6.094235879643574e-44,3.361063424530699e-43
Krzywa cukrowa - 2 punktowa (L_GLU_0),0.8942457231726283,0.0,0.8942457231726283,0.8942457231726283,0.0,5.4445295813568045e-42,2.914424658255701e-41
Krzywa cukrowa - 2 punktowa (GLU120),0.8934681181959565,0.0,0.8934681181959565,0.8934681181959565,0.0,7.232878713919256e-42,3.7610969312380125e-41
Anty-TPO (ATA_TPO),0.8110419906687403,0.0,0.8110419906687403,0.8110419906687403,0.0,6.839242485934198e-32,3.4576170345556227e-31
AMH (hormon anty-Mullerowski) (AMH_CP),0.7589424572317263,0.0,0.7589424572317263,0.7589424572317263,0.0,1.7131088254698385e-27,8.426643411770557e-27
