feature,importance,model,layer
AMH ng/ml,0.6053666841170497,logistic,raw_schema
BMI kg/m2,0.6053666841170497,logistic,raw_schema
FSH IU/l,0.6053666841170497,logistic,raw_schema
DHEAS ug/dl,0.6053666841170497,logistic,raw_schema
MPV fL,0.6053666841170497,logistic,raw_schema
Limf 10^3/uL,0.6053666841170497,logistic,raw_schema
WBC 10^3/uL,0.6053666841170497,logistic,raw_schema
kortyzol 8.00 ug/dl,0.6053666841170497,logistic,raw_schema
Neu 10^3/uL,0.6053666841170497,logistic,raw_schema
PRL ng/ml,0.6053666841170497,logistic,raw_schema
PLT 10^3/uL,0.6053666841170497,logistic,raw_schema
TSH uIU/ml,0.6053666841170497,logistic,raw_schema
SHBG nmol/l,0.6053666841170497,logistic,raw_schema
RDW %,0.6053666841170497,logistic,raw_schema
insulina uU/ml,0.6053666841170497,logistic,raw_schema
LH IU/l,0.6053666841170497,logistic,raw_schema
testosteron ng/ml,0.6053666841170497,logistic,raw_schema
glu 0' mg/dl,0.6053666841170497,logistic,raw_schema
Rok KG,0.6031157385426065,logistic,raw_schema
17 - OH progesteron (L79) (17-OHPG),0.22967589399327662,logistic,raw_schema
17 OH progesteron (L79),0.17042365240581414,logistic,raw_schema
Test z Synacthenem (L79_1),0.15678854747746057,logistic,raw_schema
Test z Synacthenem (L79_2),0.15678854747746057,logistic,raw_schema
DHEAS (DHEA),0.15454199879783717,logistic,raw_schema
TSH (TSH),0.14848968440479732,logistic,raw_schema
Test z Synacthenem (L79_0),0.14841304282401283,logistic,raw_schema
LDL cholesterol (LDL),0.14824692157639915,logistic,raw_schema
Cholesterol całkowity (TCHOL),0.14824692157639915,logistic,raw_schema
HDL cholesterol (HDL),0.14824692157639915,logistic,raw_schema
Triglicerydy (TG),0.14824692157639915,logistic,raw_schema
LH (LH),0.14816553721903708,logistic,raw_schema
FSH (FSH),0.14816553721903708,logistic,raw_schema
FT4 (FT4),0.1480503734967579,logistic,raw_schema
Kortyzol godz. 23:00 (KOR23),0.1479949932449546,logistic,raw_schema
Testosteron (L_TESTOS),0.14789298206287194,logistic,raw_schema
Kortyzol godz. 08:00 (KOR),0.14691576863216183,logistic,raw_schema
SHBG (L_SHGB),0.14493997104641676,logistic,raw_schema
PRL godz. 10:00 (PRL10),0.14466553222969425,logistic,raw_schema
Krzywa cukrowa - 2 punktowa (L_GLU_0),0.141089688309581,logistic,raw_schema
Krzywa cukrowa - 2 punktowa (GLU120),0.1407459391474769,logistic,raw_schema
Anty-TPO (ATA_TPO),0.10240501708515135,logistic,raw_schema
Kortyzol po Dexamethasonie (KORD),0.0843039570751692,logistic,raw_schema
AMH (hormon anty-Mullerowski) (AMH_CP),0.07967488570558613,logistic,raw_schema
Testosteron wolny (O41) (TEST-F),0.06788744334211011,logistic,raw_schema
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (PDW)",0.05716975950605382,logistic,raw_schema
Androstendion (I31),0.05678414346959267,logistic,raw_schema
Wolny testosteron (O41.W),0.056754743637063516,logistic,raw_schema
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (NEUT)",0.05673044859801439,logistic,raw_schema
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (PLCR)",0.05673044859801439,logistic,raw_schema
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (PCT)",0.05673044859801439,logistic,raw_schema
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (MON)",0.05673044859801439,logistic,raw_schema
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (MPV)",0.05673044859801439,logistic,raw_schema
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (MCHC)",0.05673044859801439,logistic,raw_schema
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (PLT)",0.05673044859801439,logistic,raw_schema
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (BASO)",0.05673044859801439,logistic,raw_schema
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (HCT)",0.05673044859801439,logistic,raw_schema
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (EOS)",0.05673044859801439,logistic,raw_schema
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (BASOB)",0.05673044859801439,logistic,raw_schema
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (WBC)",0.05673044859801439,logistic,raw_schema
"Morfologia krwi, z pełnym różnicowaniem granulocytów (leukocytów) z rozmazem - 5 Diff (RDWSD)",0.05673044859801439,logistic,raw_schema
